2026-08-06 08:29:20,291 | INFO | app.scrapers.winning_form_scraper | horse_names=['Captain Clever', 'Free World', 'Cape Capri', 'Chief Runner', 'Piton De Neige', 'Wordsworth', 'In The Bag', 'Bumps Last Grind', 'King Rahul', 'Waltzing Doll', 'Truly Magical']
2026-08-06 08:29:20,439 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/GAU/2T260808_1.htm "HTTP/1.1 200 OK"
2026-08-06 08:29:20,489 | INFO | app.scrapers.winning_form_scraper | runner_table_used columns={'number': 0, 'name': 1, 'length_behind': 2, 'speed_index': 3, 'predicted_time': 4, 'merit': 5, 'weight': 6, 'draw': 7, 'jockey': 9, 'trainer': 10, 'previous_run': 12, 'time': 17} extracted=10 stated=10
2026-08-06 08:29:20,490 | INFO | app.scrapers.winning_form_scraper | race_parsed url=https://legacy.winningform.co.za/GAU/2T260808_1.htm venue=Turffontein date=2026-08-08 race=1 stated=10 parsed=10
2026-08-06 08:29:20,490 | INFO | app.scrapers.winning_form_scraper | horse_names=['Midnight Special', 'Platinum Shay', 'Elegant Edge', 'Surreal Song', "Meghan's Diamond", "Master's Lady", 'Charleston Dawn', 'Lazer Light', 'Moonface', 'Jessica Rabbit']
2026-08-06 08:29:20,628 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/GAU/2T260808_2.htm "HTTP/1.1 200 OK"
2026-08-06 08:29:20,666 | INFO | app.scrapers.winning_form_scraper | runner_table_used columns={'number': 0, 'name': 1, 'length_behind': 2, 'speed_index': 3, 'predicted_time': 4, 'merit': 5, 'weight': 6, 'draw': 7, 'jockey': 9, 'trainer': 10, 'previous_run': 12, 'time': 17} extracted=7 stated=7
2026-08-06 08:29:20,666 | INFO | app.scrapers.winning_form_scraper | race_parsed url=https://legacy.winningform.co.za/GAU/2T260808_2.htm venue=Turffontein date=2026-08-08 race=2 stated=7 parsed=7
2026-08-06 08:29:20,667 | INFO | app.scrapers.winning_form_scraper | horse_names=['Shining Sun', 'Royale Jacket', 'Be The One', 'Seventh Fleet', 'Moethemoneyman', 'From The Get Go', 'Mirum']
2026-08-06 08:29:20,843 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/GAU/2T260808_3.htm "HTTP/1.1 200 OK"
2026-08-06 08:29:20,880 | INFO | app.scrapers.winning_form_scraper | runner_table_used columns={'number': 0, 'name': 1, 'length_behind': 2, 'speed_index': 3, 'predicted_time': 4, 'merit': 5, 'weight': 6, 'draw': 7, 'jockey': 9, 'trainer': 10, 'previous_run': 12, 'time': 17} extracted=7 stated=7
2026-08-06 08:29:20,880 | INFO | app.scrapers.winning_form_scraper | race_parsed url=https://legacy.winningform.co.za/GAU/2T260808_3.htm venue=Turffontein date=2026-08-08 race=3 stated=7 parsed=7
2026-08-06 08:29:20,880 | INFO | app.scrapers.winning_form_scraper | horse_names=["Destiny's Dream", 'Empress Of Peace', 'Be All You Can Be', "Nicci's Law", 'Hot Choice', 'Nicolson Landing', 'Future Red']
2026-08-06 08:29:21,033 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/GAU/2T260808_4.htm "HTTP/1.1 200 OK"
2026-08-06 08:29:21,090 | INFO | app.scrapers.winning_form_scraper | runner_table_used columns={'number': 0, 'name': 1, 'length_behind': 2, 'speed_index': 3, 'predicted_time': 4, 'merit': 5, 'weight': 6, 'draw': 7, 'jockey': 9, 'trainer': 10, 'previous_run': 12, 'time': 17} extracted=7 stated=7
2026-08-06 08:29:21,090 | INFO | app.scrapers.winning_form_scraper | race_parsed url=https://legacy.winningform.co.za/GAU/2T260808_4.htm venue=Turffontein date=2026-08-08 race=4 stated=7 parsed=7
2026-08-06 08:29:21,091 | INFO | app.scrapers.winning_form_scraper | horse_names=["Fire 'n Flames", 'Palace Prince', 'Hotarubi', "King's Express", 'The Equator', 'Royal Invitation', 'Hawkbill']
